location_base,h3_resolution,h3_index,trip_count,passenger_count
DROPOFF,5,852a1003fffffff,1683,2924
DROPOFF,5,852a1007fffffff,779,1287
DROPOFF,5,852a100bfffffff,126255,210509
DROPOFF,5,852a100ffffffff,350854,582210
DROPOFF,5,852a1013fffffff,72,107
DROPOFF,5,852a1017fffffff,22,31
DROPOFF,5,852a101bfffffff,185,308
DROPOFF,5,852a102bfffffff,2,2
DROPOFF,5,852a1033fffffff,32,50
DROPOFF,5,852a103bfffffff,6980,12059
DROPOFF,5,852a1043fffffff,3,3
DROPOFF,5,852a1047fffffff,58,77
DROPOFF,5,852a104bfffffff,1,1
DROPOFF,5,852a104ffffffff,15,16
DROPOFF,5,852a1053fffffff,1,2
DROPOFF,5,852a1057fffffff,20,32
DROPOFF,5,852a1063fffffff,125,213
DROPOFF,5,852a1067fffffff,6,11
DROPOFF,5,852a106bfffffff,12,14
DROPOFF,5,852a106ffffffff,2,2
DROPOFF,5,852a1073fffffff,241929,404550
DROPOFF,5,852a1077fffffff,8611,14355
DROPOFF,5,852a107bfffffff,28,31
DROPOFF,5,852a1083fffffff,2,2
DROPOFF,5,852a108bfffffff,6,8
DROPOFF,5,852a108ffffffff,7,7
DROPOFF,5,852a1097fffffff,1,2
DROPOFF,5,852a10a3fffffff,6,7
DROPOFF,5,852a10abfffffff,49,66
DROPOFF,5,852a10b3fffffff,5,10
DROPOFF,5,852a10b7fffffff,2,5
DROPOFF,5,852a10bbfffffff,6,7
DROPOFF,5,852a10c3fffffff,3,3
DROPOFF,5,852a10c7fffffff,25,34
DROPOFF,5,852a10cbfffffff,1,1
DROPOFF,5,852a10cffffffff,8,10
DROPOFF,5,852a10d3fffffff,1,1
DROPOFF,5,852a10d7fffffff,6,6
DROPOFF,5,852a11cbfffffff,1,2
DROPOFF,5,852a1287fffffff,2,2
DROPOFF,5,852a12a3fffffff,2,2
DROPOFF,5,852a12a7fffffff,4,6
DROPOFF,5,852a12b7fffffff,4,5
DROPOFF,5,852a12cbfffffff,1,1
DROPOFF,5,852a1383fffffff,1,1
DROPOFF,5,852a1393fffffff,1,2
DROPOFF,5,852a13c3fffffff,4,5
DROPOFF,5,852a13cbfffffff,1,2
DROPOFF,5,852a13d3fffffff,3,6
DROPOFF,5,852a1427fffffff,2,3
DROPOFF,5,852a146bfffffff,1,1
DROPOFF,5,852a146ffffffff,1,1
DROPOFF,5,852a154bfffffff,1,5
DROPOFF,5,852a1563fffffff,1,1
DROPOFF,5,852a15cbfffffff,1,1
DROPOFF,5,852a1a8bfffffff,1,1
DROPOFF,5,852a3033fffffff,1,1
DROPOFF,5,852a30c7fffffff,1,1
DROPOFF,5,852a3653fffffff,1,1
DROPOFF,5,852a8153fffffff,1,2
DROPOFF,5,852a84c3fffffff,1,1
DROPOFF,5,852a8ca7fffffff,1,1
DROPOFF,5,852aa847fffffff,3,3
DROPOFF,5,852aadcbfffffff,1,1
DROPOFF,5,852acc73fffffff,1,4
DROPOFF,5,852b88a3fffffff,1,1
DROPOFF,6,862a10007ffffff,36,59
DROPOFF,6,862a1000fffffff,89,159
DROPOFF,6,862a10017ffffff,922,1623
DROPOFF,6,862a1001fffffff,569,962
DROPOFF,6,862a10027ffffff,1,1
DROPOFF,6,862a1002fffffff,5,5
DROPOFF,6,862a10037ffffff,43,66
DROPOFF,6,862a10047ffffff,62,114
DROPOFF,6,862a1004fffffff,35,51
DROPOFF,6,862a10057ffffff,384,666
DROPOFF,6,862a1005fffffff,263,414
DROPOFF,6,862a10067ffffff,13,22
