location_base,lng,lat,trip_count,passenger_count
DROPOFF,-73.932004665755031,40.68793887550202,43,59
DROPOFF,-74.007883508468112,40.714959860432685,1532,2544
DROPOFF,-73.953147011770938,40.793111729645986,310,482
DROPOFF,-74.008930863827743,40.741363079954027,1837,3212
DROPOFF,-73.99162251405302,40.736546230444134,2933,4784
DROPOFF,-73.991207370874577,40.725984539744822,2900,4909
DROPOFF,-73.952129932108164,40.7666914709113,1949,3286
DROPOFF,-73.913732961931132,40.884142687316931,32,52
DROPOFF,-73.958852141548292,40.774444927653917,3319,5352
DROPOFF,-74.001996089516226,40.728334843322457,2332,3955
DROPOFF,-73.999963363599946,40.731033292204707,2189,3699
DROPOFF,-73.973105623935879,40.755552192449343,6194,10288
DROPOFF,-73.991830155725523,40.741827600437382,3508,5864
DROPOFF,-73.990999869337159,40.720704219149063,996,1629
DROPOFF,-73.964552762359745,40.755782114945347,2093,3363
DROPOFF,-73.986763479587509,40.77633863378199,1050,1617
DROPOFF,-73.996473341788189,40.696773292148983,176,290
DROPOFF,-73.959668879881079,40.795582494619644,142,219
DROPOFF,-73.963130270631353,40.7743302606459,3692,6008
DROPOFF,-73.952943504174428,40.787826979324,2393,4032
DROPOFF,-73.986141949578553,40.760488726686347,5399,9424
DROPOFF,-73.9403074972637,40.793454133749293,375,614
DROPOFF,-73.974935101961364,40.747571339150312,2803,4637
DROPOFF,-73.9525366265083,40.777258526431694,2532,4294
DROPOFF,-73.991414919107967,40.7312652101949,2522,4087
DROPOFF,-73.960077525186009,40.806153373204353,745,1278
DROPOFF,-73.988138187329952,40.702283715830085,430,728
DROPOFF,-73.957018903878492,40.782428139238263,3147,5217
DROPOFF,-73.954574005955,40.774559436456641,2226,3803
DROPOFF,-73.964563420297821,40.811324625240545,177,329
DROPOFF,-73.994071708927109,40.744410488082679,2996,4993
DROPOFF,-74.002204863009936,40.733615672195207,2607,4339
DROPOFF,-73.940105435666453,40.78816936506508,271,477
DROPOFF,-73.979210797648292,40.747456071392619,3069,5132
DROPOFF,-74.004655697271531,40.741479447007734,4453,7805
DROPOFF,-73.959056257135728,40.779728795481155,2935,4934
DROPOFF,-73.947031524289244,40.801210903854013,303,537
DROPOFF,-73.969034354546281,40.760949861819178,4718,7735
DROPOFF,-73.977588165492975,40.760719610454672,3966,6529
DROPOFF,-73.975552672685609,40.763418673424262,4737,7785
DROPOFF,-73.9788258653002,40.7924226461075,373,624
DROPOFF,-74.005074007377473,40.752043196357043,1926,3105
DROPOFF,-73.998347133425682,40.744294512623817,1826,2914
DROPOFF,-73.978000546249518,40.771285891594637,926,1523
DROPOFF,-73.962925719407878,40.7690467484428,2859,4601
DROPOFF,-74.0068979615497,40.744062087778978,1932,3233
DROPOFF,-73.9828664471727,40.731496496673181,1903,3103
DROPOFF,-73.989796277534268,40.744526305564406,3611,5995
DROPOFF,-73.9541668757923,40.763992736533424,2195,3537
DROPOFF,-73.9893814751158,40.733963559055738,3164,5317
DROPOFF,-73.961093379375285,40.777029502609871,2582,4142
DROPOFF,-73.964757439119111,40.761064750347437,1998,3397
DROPOFF,-73.994279661265736,40.749692379309245,6388,10661
DROPOFF,-73.979417089368354,40.752738160175532,6125,9916
DROPOFF,-73.980655815692657,40.784438032172567,1881,3126
DROPOFF,-73.977382044751991,40.755436994107704,5003,8038
DROPOFF,-73.993863803393637,40.73912894651648,2599,4218
DROPOFF,-74.016218722956452,40.709447139114019,1516,2554
DROPOFF,-73.9761462942413,40.723748638631569,433,713
DROPOFF,-73.988176723506513,40.757789563144904,4582,8110
DROPOFF,-73.983486486605685,40.747340645634189,3915,6805
DROPOFF,-73.963948936477351,40.795467802575061,631,1000
DROPOFF,-73.979829812174785,40.763303386434082,5330,9063
DROPOFF,-74.006688613088741,40.738780566092139,2609,4404
DROPOFF,-73.97290003081406,40.750269919268021,3650,5967
DROPOFF,-73.971070104621944,40.758251001615356,4981,8006
DROPOFF,-73.968624084553113,40.750384953197312,996,1702
DROPOFF,-73.974340155424969,40.7872531703021,2035,3375
DROPOFF,-73.946220385846487,40.7800718658006,2017,3374
DROPOFF,-73.966588538820218,40.753083508550816,1536,2529
DROPOFF,-73.968023768828033,40.790068049128763,1203,2056
DROPOFF,-73.9786194658061,40.787137933588781,1941,3285
DROPOFF,-73.990003748781191,40.749808203339178,11539,19319
DROPOFF,-74.004028585079638,40.725636445753409,1866,3075
DROPOFF,-73.954777639823,40.779843310500887,4257,7182
DROPOFF,-73.983073080467165,40.736777529931629,2109,3536
DROPOFF,-73.975140912522178,40.752853434342576,5609,9102
DROPOFF,-73.994695706421865,40.760257210522447,2225,3738
DROPOFF,-73.913632900272589,40.767714137841757,100,159
DROPOFF,-74.010334330630812,40.722821676950666,1203,2032
DROPOFF,-73.96516693093804,40.77163106961077,2516,4148
DROPOFF,-73.962721214248461,40.763763585662176,2368,3847
DROPOFF,-73.984106944922985,40.7631879413235,4325,7427
DROPOFF,-73.985106998743092,40.734079205547125,2122,3398
DROPOFF,-73.9564073485599,40.766577050504587,3392,5507
DROPOFF,-73.985727829446148,40.749923869351065,3068,5285
DROPOFF,-73.959873179509017,40.800867759366476,491,838
DROPOFF,-73.968228986500677,40.795352952166361,744,1266
DROPOFF,-74.006479311741444,40.733499394116393,2137,3537
DROPOFF,-73.984693344421359,40.723517845121556,1702,2842
DROPOFF,-73.9678185973902,40.784783495290448,644,1059
DROPOFF,-73.977175970414976,40.750154727316527,5646,9304
DROPOFF,-73.973311263353452,40.76083481518792,4381,7194
DROPOFF,-73.972694483972376,40.744987995699226,2182,3606
DROPOFF,-73.965371746028723,40.776914753361275,589,1025
DROPOFF,-73.937058121800291,40.764449140750266,126,150
DROPOFF,-73.9735169490824,40.766117787428421,1930,3454
DROPOFF,-74.005851690222613,40.717657977007534,1406,2377
DROPOFF,-73.956611154418241,40.771860397370645,2431,4118
DROPOFF,-73.953350565230409,40.798396829144522,268,437
DROPOFF,-73.9643585461897,40.806038668632816,923,1531
DROPOFF,-73.985313895732361,40.739360410448228,3314,5619
DROPOFF,-73.990211266740957,40.755090450720594,4506,7558
DROPOFF,-73.946017715428539,40.774787979442038,1526,2602
DROPOFF,-73.9790045523628,40.7421743322477,2960,4877
DROPOFF,-73.970471755740732,40.797938048443861,1324,2227
DROPOFF,-73.946423101926115,40.785356101476559,454,741
DROPOFF,-74.002622550982423,40.744178379188895,1186,1956
DROPOFF,-73.975346769425059,40.758135879119,5088,8446
DROPOFF,-74.0024136834934,40.738896850835744,2270,3712
DROPOFF,-73.96596182579799,40.681747154245535,93,138
DROPOFF,-73.98124539425622,40.744757466592311,3360,5561
DROPOFF,-73.953757809800223,40.80896807544908,338,593
DROPOFF,-73.952333256407726,40.771974823972293,2825,4560
DROPOFF,-73.950295863899171,40.77467378705299,2343,3844
DROPOFF,-73.966396513918141,40.8033384110845,1168,1954
DROPOFF,-73.9887989057447,40.773638936342749,1242,2098
DROPOFF,-73.97820680629647,40.776569556276868,2301,3865
DROPOFF,-74.00851178026825,40.730800742711054,1224,2022
DROPOFF,-73.987554961409671,40.741943335666591,3291,5417
DROPOFF,-74.004446612827849,40.736198096831792,1465,2415
DROPOFF,-73.992037844141265,40.747109320119371,2751,4621
DROPOFF,-74.008092885284142,40.720239804640457,1790,2939
DROPOFF,-73.9480553519604,40.772089092387084,1942,3207
DROPOFF,-73.98227840463781,40.771170515892969,3170,5429
DROPOFF,-73.9965217289429,40.752275483111688,1183,1993
DROPOFF,-73.97818003525299,40.721050873152315,462,798
DROPOFF,-73.977794332653616,40.766002576302107,3546,6031
DROPOFF,-73.982453320054958,40.720935479617921,1179,1960
DROPOFF,-73.990626442862037,40.76565599408206,1200,1972
DROPOFF,-73.940509604398443,40.798739251614286,507,834
DROPOFF,-73.959251659298161,40.674003333569587,72,101
DROPOFF,-74.002831465492875,40.749460257199416,1830,3079
DROPOFF,-73.98631269593956,40.710260323836543,177,293
DROPOFF,-73.998138746912488,40.739012977644222,2174,3478
DROPOFF,-73.930943670756449,40.772544584157941,48,73
DROPOFF,-73.994487660425392,40.754974620140942,1819,3068
DROPOFF,-73.982071709505718,40.765887207034908,4368,7349
DROPOFF,-74.003040427040673,40.754742484812006,981,1559
DROPOFF,-73.9802427209077,40.773870010580808,2975,4893
DROPOFF,-73.993032648995865,40.718006277959908,816,1368
DROPOFF,-73.9745460729456,40.792537889221244,1954,3253
DROPOFF,-73.987969422812881,40.752507137720634,2597,4209
DROPOFF,-73.9824851463292,40.776454174139282,2487,4086
DROPOFF,-73.988591464956656,40.768355462511316,1794,2903
DROPOFF,-74.0048648287828,40.746761146867904,1517,2388
DROPOFF,-73.932406149587322,40.698495485239754,103,177
DROPOFF,-73.958648071932132,40.769161409195256,2777,4597
DROPOFF,-73.954981319569441,40.785127533859722,2788,4584
DROPOFF,-73.97879835349616,40.736892942796,1462,2298
DROPOFF,-73.954370417949931,40.769275911782337,2543,4245
DROPOFF,-73.98734780066863,40.736661959147327,2603,4306
DROPOFF,-73.974134284294,40.781968800607778,1427,2413
DROPOFF,-73.990834101054915,40.770939289951436,988,1666
DROPOFF,-73.970864728990279,40.752968550468033,2887,4630
DROPOFF,-74.010544018442317,40.72810214263707,333,546
DROPOFF,-73.9979304072968,40.733731792378713,2130,3551
DROPOFF,-74.001006616095722,40.757441824465062,1637,2806
DROPOFF,-73.953353165326831,40.742863530898596,198,328
DROPOFF,-73.996313512624269,40.746993420365079,1288,2089
DROPOFF,-74.009915096513808,40.712261795258172,1557,2622
DROPOFF,-73.980449245035828,40.77915384672378,2632,4436
DROPOFF,-73.995481115863285,40.725868666251074,2826,4670
DROPOFF,-73.9814519033082,40.750039377343846,3384,5561
DROPOFF,-74.016008479792461,40.704167908350392,1251,2192
DROPOFF,-73.9568150061859,40.777144093633673,3047,4984
DROPOFF,-73.9659864682128,40.792767900423016,1527,2469
DROPOFF,-73.971275526503049,40.763533802293026,5531,9093
DROPOFF,-73.948258240390132,40.777372801002933,2042,3399
DROPOFF,-73.983279760272907,40.742058912937026,3444,5712
DROPOFF,-74.004237575435852,40.730917096395281,1737,2852
DROPOFF,-73.9421439835188,40.7854701478532,447,713
DROPOFF,-74.000171920180179,40.736314299285318,1860,3087
DROPOFF,-73.952740042425376,40.782542578234072,2659,4479
DROPOFF,-73.983693259481115,40.752622727967847,2531,4326
DROPOFF,-73.985520839294779,40.744641965067963,3749,6331
DROPOFF,-73.987140686546951,40.73138093237354,2772,4730
DROPOFF,-73.9863490795911,40.765771679627882,1773,2941
DROPOFF,-73.978413112810088,40.781853570293393,2284,3702
DROPOFF,-73.944587341804919,40.793340157396479,385,638
DROPOFF,-73.995897220572715,40.73643034382313,2005,3310
DROPOFF,-73.99224557931602,40.7523913894349,3010,5180
DROPOFF,-74.012156264485668,40.714843369036963,2692,4407
DROPOFF,-73.997146659260011,40.768123768590556,445,793
DROPOFF,-73.957017168107939,40.726905845435404,103,179
DROPOFF,-73.972097676834451,40.78466849919964,1774,2892
DROPOFF,-73.976376749617827,40.784553344826683,1598,2613
DROPOFF,-73.976170660769938,40.779269152959692,1545,2542
DROPOFF,-73.93459276111345,40.81212427287992,83,140
DROPOFF,-73.984313857520874,40.768471072234838,3551,5844
DROPOFF,-73.992453361265575,40.757673808328633,2734,4503
DROPOFF,-73.96699837367477,40.763648773039336,3455,5681
DROPOFF,-73.976558025671068,40.734310024830449,810,1349
DROPOFF,-73.995273133722378,40.7205883522167,1840,3173
DROPOFF,-73.995111938988373,40.770823439713624,295,489
DROPOFF,-73.998972574508514,40.760141215294794,1457,2442
DROPOFF,-73.992661190005734,40.76295657674531,1187,1950
DROPOFF,-73.9667934331769,40.758365966029189,2756,4568
DROPOFF,-73.981038931685063,40.739475905505621,2625,4277
DROPOFF,-73.9612977588396,40.78231354197672,497,832
DROPOFF,-74.001787362996339,40.723054364272706,1843,3108
DROPOFF,-73.956203588595429,40.7612940530909,515,855
DROPOFF,-73.951312082478509,40.801096680764914,352,632
DROPOFF,-73.996729992144509,40.757557895435014,1060,1779
DROPOFF,-73.992409773878734,40.702167950680042,290,518
DROPOFF,-73.9378439088746,40.841146630805078,172,261
DROPOFF,-73.997722114562762,40.728450956882561,1300,2257
DROPOFF,-73.997097517492477,40.712610549561624,443,766
DROPOFF,-73.983900078914971,40.757905159882725,4123,7111
DROPOFF,-73.9492733684697,40.803796583138791,299,462
DROPOFF,-73.950092757508926,40.76939025620301,992,1617
DROPOFF,-73.94662586368284,40.790640686414449,533,883
DROPOFF,-74.010124689993276,40.717541561139321,1184,1981
DROPOFF,-74.009140476363044,40.746644773127151,751,1266
DROPOFF,-73.960678692760325,40.7109511882605,272,463
DROPOFF,-73.985934866202143,40.755206123242289,3466,5791
DROPOFF,-74.003819641743377,40.720356144961343,1553,2665
DROPOFF,-73.987762168785849,40.747225061876108,3612,6100
DROPOFF,-73.960889045944228,40.771745812583134,2970,4886
DROPOFF,-73.968829196455928,40.7556672327289,3211,5367
DROPOFF,-73.974317948174658,40.731727151631254,582,934
DROPOFF,-73.981865060917229,40.760604247620464,4457,7441
DROPOFF,-73.976582884901788,40.789837885945509,1949,3273
DROPOFF,-73.981658458856629,40.755321637705016,3932,6586
DROPOFF,-74.008721298468117,40.736081736463582,942,1611
DROPOFF,-74.000380523704052,40.7415956561069,1585,2718
DROPOFF,-73.960684758530832,40.766462471951947,2412,3975
DROPOFF,-73.951515463628269,40.806382307011255,276,494
DROPOFF,-74.018460113968445,40.7120285037186,194,348
DROPOFF,-73.989174143912777,40.728682710432309,2614,4384
